id,user_name
0, "pñpñpñpñ"
1, "u7878"
2, "jpujpio"
3, "pipopipo"
4, "yy"
5, "hjm"
6, "90"
7, "grsgwesf"
8, "chuuuupa"
9, "´çñç"
10, "picha"
11, ", ,<."
12, "PACO"
13, "0M,M"
14, "MN_01"
15, "SG_01"
16, "SG_02"
17, "MN_02"
18, "MN_03"
19, "SG_03"
20, "MN_04"
21, "SG_04"
22, "MN_05"
23, "SG_05"
24, "MN_06"
25, "SG_06"
26, "MN_07"
27, "SG_07"
28, "MN_08"
29, "SG_08"
30, "MN_09"
31, "SG_09"
32, "MN_10"
33, "SG_10"
34, "MN_11"
35, "SG_11"
36, "MN_12"
37, "SG_12"
38, "MN_13"
39, "SG_13"
40, "MN_14"
41, "SG_14"
42, "MN_15"
43, "SG_15"
44, "MN_16"
45, "SG_16"
46, "MN_17"
47, "SG_17"
48, "MN_18"
49, "SG_18"
50, "MN_19"
51, "SG_19"
52, "MN_20"
53, "SG_20"
54, "MN_21"
55, "SG_21"
56, "MN_22"
57, "SG_22"
58, "MN_23"
59, "SG_23"
60, "MN_24"
61, "SG_24"
62, "MN_25"
63, "SG_25"
64, "MN_26"
65, "SG_26"
66, "MN_27"
67, "SG_27"
